station_code,lat,lng,old_district,old_province,new_district,new_province,region,technician
C.TNG0210,21.581829,105.839066,Thai Nguyen,Thái Nguyên,Phường Phan Đình Phùng,Tỉnh Thái Nguyên,,
C.GLA0189,14.055336,108.335846,Mang Yang,Gia Lai,Xã Hra,Tỉnh Gia Lai,Tây Nguyên,Gia Lai
C.BNI0302,21.349369,105.979164,Hiep Hoa,Bắc Giang,Xã Hiệp Hoà,Tỉnh Bắc Ninh,,
C.NBI0159,20.246426,106.406097,Giao Thuy,Nam Định,Xã Giao Bình,Tỉnh Ninh Bình,,
C.HNO1930,20.830603,105.764389,Thanh Oai,Hà Nội	,Xã Thanh Oai,Thành phố Hà Nội,,
C.HPH0337,20.964218,106.675652,Thuy Nguyen,Hải Phòng,Phường Lưu Kiếm,Thành phố Hải Phòng,,
C.LCA0195,22.44758,104.023247,Lao Cai,Lào Cai,Phường Cam Đường,Tỉnh Lào Cai,,
C.VLO0062,9.929635,106.339233,Tra Vinh,Trà Vinh,Phường Nguyệt Hoá,Tỉnh Vĩnh Long,Mtay,Nguyễn Thành Nghĩa
C.DNI0501,10.887472,107.100807,Thong Nhat,Đồng Nai,Phường Dầu Giây,Thành phố Đồng Nai,DNI-BPH,Ngô Văn Cảnh
C.NAN0244,19.258934,104.466759,Tuong Duong,Nghệ An,Xã Tương Dương,Tỉnh Nghệ An,,
C.SLA0092,20.844912,104.698341,Moc Chau,Sơn La,Phường Thảo Nguyên,Tỉnh Sơn La,,
C.QNI0311,21.106152,106.801407,Uong Bi,Quảng Ninh,Phường Vàng Danh,Tỉnh Quảng Ninh,,
C.HYE0320,20.944267,106.000603,Van Giang,Hưng Yên,Xã Nghĩa Trụ,Tỉnh Hưng Yên,,
C.DNI0510,10.953375,106.866272,Bien Hoa,Đồng Nai,Phường Tam Hiệp,Thành phố Đồng Nai,DNI-BPH,Phạm Quý Bôn
C.HYE0329,20.645613,106.084435,Tien Lu,Hà Nam,Xã Tân Hưng,Tỉnh Hưng Yên,,
C.PTH0201,21.27537,105.46125,Vinh Tuong,Hà Nội	,Xã Vĩnh Thành,Tỉnh Phú Thọ,,
C.PTH0223,21.280918,105.641464,Binh Xuyen,Vĩnh Phúc,Xã Bình Nguyên,Tỉnh Phú Thọ,,
C.HCM1294,10.733213,106.690544,Binh Chanh,Ho Chi Minh,Xã Bình Hưng,Thành phố Hồ Chí Minh,HCM,Lư Diệu Thuận
C.HNO1936,21.062334,105.760468,Bac Tu Liem,Hà Nội	,Phường Đông Ngạc,Thành phố Hà Nội,,
